defect_id,lot_id,wafer_id,tool_id,process_step,defect_type,defect_density,x_coord_mm,y_coord_mm,timestamp
D-0000037,W2401-0004,W2401-0004-W25,IMP-02,implant,scratch,0.0811,-94.58,-85.73,2024-01-01T22:00:52
D-0000038,W2401-0004,W2401-0004-W03,IMP-02,implant,scratch,0.0321,101.76,14.96,2024-01-01T20:54:52
D-0000039,W2401-0005,W2401-0005-W23,DEP-02,deposition,void,0.0562,56.76,-60.43,2024-01-02T00:33:26
D-0000040,W2401-0005,W2401-0005-W22,DEP-02,deposition,scratch,0.0816,75.19,-136.86,2024-01-01T23:59:26
D-0000041,W2401-0005,W2401-0005-W03,DEP-02,deposition,bridge,0.0315,-133.49,-128.51,2024-01-02T00:42:26
D-0000042,W2401-0005,W2401-0005-W01,DEP-02,deposition,particle,0.0482,-9.17,-41.38,2024-01-02T00:30:26
D-0000043,W2401-0006,W2401-0006-W09,CMP-01,cmp,scratch,0.174,117.72,-75.22,2024-01-02T03:51:13
D-0000044,W2401-0006,W2401-0006-W06,CMP-01,cmp,scratch,0.1718,59.81,-118.05,2024-01-02T05:53:13
D-0000045,W2401-0006,W2401-0006-W01,CMP-01,cmp,scratch,0.1529,-111.25,70.88,2024-01-02T05:56:13
D-0000046,W2401-0006,W2401-0006-W22,CMP-01,cmp,scratch,0.179,-147.42,6.85,2024-01-02T03:35:13
D-0000047,W2401-0006,W2401-0006-W19,CMP-01,cmp,bridge,0.1576,-93.11,14.17,2024-01-02T02:41:13
D-0000048,W2401-0006,W2401-0006-W14,CMP-01,cmp,scratch,0.1467,-91.64,8.28,2024-01-02T03:54:13
D-0000049,W2401-0007,W2401-0007-W13,LIT-01,litho,patterning_defect,0.0429,23.34,-68.73,2024-01-02T09:12:54
D-0000050,W2401-0007,W2401-0007-W04,LIT-01,litho,etch_pit,0.0304,31.37,-148.57,2024-01-02T07:04:54
D-0000051,W2401-0007,W2401-0007-W13,LIT-01,litho,bridge,0.0697,57.01,22.83,2024-01-02T10:03:54
D-0000052,W2401-0007,W2401-0007-W21,LIT-01,litho,bridge,0.0874,-74.86,62.9,2024-01-02T07:34:54
D-0000053,W2401-0007,W2401-0007-W08,LIT-01,litho,etch_pit,0.0685,54.85,-109.38,2024-01-02T07:30:54
D-0000054,W2401-0008,W2401-0008-W04,IMP-02,implant,bridge,0.0621,64.74,98.33,2024-01-02T10:31:07
D-0000055,W2401-0008,W2401-0008-W14,IMP-02,implant,particle,0.0265,-105.97,66.85,2024-01-02T13:49:07
D-0000056,W2401-0008,W2401-0008-W04,IMP-02,implant,etch_pit,0.036,-26.48,47.54,2024-01-02T13:22:07
D-0000057,W2401-0008,W2401-0008-W09,IMP-02,implant,void,0.0261,40.25,-87.38,2024-01-02T11:58:07
D-0000058,W2401-0008,W2401-0008-W07,IMP-02,implant,etch_pit,0.0786,48.37,-3.01,2024-01-02T11:38:07
D-0000059,W2401-0008,W2401-0008-W14,IMP-02,implant,particle,0.0102,-10.85,-130.7,2024-01-02T10:43:07
D-0000060,W2401-0009,W2401-0009-W17,ETCH-02,etch,scratch,0.0431,113.63,-107.07,2024-01-02T15:41:09
D-0000061,W2401-0009,W2401-0009-W06,ETCH-02,etch,void,0.0111,85.14,8.82,2024-01-02T17:00:09
D-0000062,W2401-0009,W2401-0009-W15,ETCH-02,etch,scratch,0.0615,-15.1,56.15,2024-01-02T15:40:09
D-0000063,W2401-0009,W2401-0009-W16,ETCH-02,etch,patterning_defect,0.0316,-5.86,-18.44,2024-01-02T15:04:09
D-0000064,W2401-0009,W2401-0009-W01,ETCH-02,etch,etch_pit,0.0616,-34.39,144.97,2024-01-02T16:51:09
D-0000065,W2401-0009,W2401-0009-W17,ETCH-02,etch,bridge,0.0216,-69.23,-38.49,2024-01-02T15:35:09
D-0000066,W2401-0009,W2401-0009-W23,ETCH-02,etch,particle,0.079,4.91,-56.56,2024-01-02T16:13:09
D-0000067,W2401-0010,W2401-0010-W03,ETCH-01,etch,bridge,0.0808,-77.11,-64.72,2024-01-02T22:08:14
D-0000068,W2401-0010,W2401-0010-W08,ETCH-01,etch,etch_pit,0.0635,16.68,33.85,2024-01-02T22:05:14
D-0000069,W2401-0010,W2401-0010-W17,ETCH-01,etch,patterning_defect,0.0602,142.28,-148.0,2024-01-02T18:46:14
D-0000070,W2401-0010,W2401-0010-W11,ETCH-01,etch,etch_pit,0.0716,-23.92,-47.29,2024-01-02T20:44:14
D-0000071,W2401-0011,W2401-0011-W06,ETCH-03,etch,particle,0.2766,78.72,-74.15,2024-01-03T01:48:54
D-0000072,W2401-0011,W2401-0011-W09,ETCH-03,etch,particle,0.3572,50.61,137.27,2024-01-03T00:47:54
D-0000073,W2401-0011,W2401-0011-W19,ETCH-03,etch,particle,0.295,37.14,116.3,2024-01-02T23:46:54
D-0000074,W2401-0011,W2401-0011-W02,ETCH-03,etch,bridge,0.2892,77.16,9.68,2024-01-03T00:29:54
D-0000075,W2401-0011,W2401-0011-W08,ETCH-03,etch,particle,0.3406,56.54,-118.25,2024-01-02T22:58:54
D-0000076,W2401-0011,W2401-0011-W08,ETCH-03,etch,particle,0.211,-9.81,10.42,2024-01-03T01:32:54
D-0000077,W2401-0011,W2401-0011-W03,ETCH-03,etch,particle,0.4474,14.47,65.09,2024-01-02T23:19:54
D-0000078,W2401-0011,W2401-0011-W24,ETCH-03,etch,particle,0.2927,-138.09,-145.51,2024-01-03T00:53:54
D-0000079,W2401-0011,W2401-0011-W14,ETCH-03,etch,particle,0.2701,26.41,-14.95,2024-01-02T23:16:54
D-0000080,W2401-0011,W2401-0011-W03,ETCH-03,etch,particle,0.2592,-113.6,91.01,2024-01-03T01:45:54
D-0000081,W2401-0011,W2401-0011-W20,ETCH-03,etch,particle,0.3573,77.75,-135.84,2024-01-03T01:19:54
D-0000082,W2401-0011,W2401-0011-W09,ETCH-03,etch,particle,0.3643,58.37,-147.11,2024-01-03T00:28:54
D-0000083,W2401-0011,W2401-0011-W07,ETCH-03,etch,void,0.4219,-119.17,1.1,2024-01-02T23:21:54
D-0000084,W2401-0011,W2401-0011-W19,ETCH-03,etch,particle,0.3068,-45.01,-42.64,2024-01-03T00:18:54
D-0000085,W2401-0011,W2401-0011-W18,ETCH-03,etch,scratch,0.2067,-119.94,37.91,2024-01-02T22:28:54
D-0000086,W2401-0012,W2401-0012-W07,IMP-02,implant,scratch,0.0226,70.77,69.27,2024-01-03T03:28:36
D-0000087,W2401-0012,W2401-0012-W07,IMP-02,implant,scratch,0.0336,-130.74,-15.06,2024-01-03T05:16:36
D-0000088,W2401-0012,W2401-0012-W05,IMP-02,implant,particle,0.0681,66.77,-39.74,2024-01-03T05:51:36
D-0000089,W2401-0012,W2401-0012-W25,IMP-02,implant,scratch,0.0649,-103.13,-130.15,2024-01-03T03:18:36
D-0000090,W2401-0012,W2401-0012-W16,IMP-02,implant,void,0.0237,-138.53,-96.82,2024-01-03T04:25:36
D-0000091,W2401-0012,W2401-0012-W04,IMP-02,implant,particle,0.0226,-127.18,-25.31,2024-01-03T04:29:36
D-0000092,W2401-0013,W2401-0013-W23,LIT-01,litho,etch_pit,0.0313,6.04,16.39,2024-01-03T09:07:03
D-0000093,W2401-0013,W2401-0013-W17,LIT-01,litho,patterning_defect,0.0846,118.89,124.31,2024-01-03T07:38:03
D-0000094,W2401-0013,W2401-0013-W15,LIT-01,litho,scratch,0.0898,9.79,20.05,2024-01-03T08:08:03
D-0000095,W2401-0013,W2401-0013-W14,LIT-01,litho,scratch,0.0769,-16.37,-54.91,2024-01-03T08:49:03
D-0000096,W2401-0013,W2401-0013-W07,LIT-01,litho,patterning_defect,0.0739,100.02,-90.51,2024-01-03T07:29:03
D-0000097,W2401-0014,W2401-0014-W25,CMP-02,cmp,void,0.0842,111.67,-114.63,2024-01-03T13:06:23
D-0000098,W2401-0014,W2401-0014-W05,CMP-02,cmp,patterning_defect,0.0284,59.68,133.97,2024-01-03T10:37:23
D-0000099,W2401-0014,W2401-0014-W18,CMP-02,cmp,void,0.0827,24.04,70.81,2024-01-03T10:43:23
D-0000100,W2401-0014,W2401-0014-W02,CMP-02,cmp,void,0.0531,-79.92,-111.32,2024-01-03T10:21:23
D-0000101,W2401-0014,W2401-0014-W17,CMP-02,cmp,etch_pit,0.0535,-126.9,11.62,2024-01-03T10:30:23
D-0000102,W2401-0014,W2401-0014-W11,CMP-02,cmp,void,0.0175,-71.18,14.57,2024-01-03T10:54:23
D-0000103,W2401-0014,W2401-0014-W02,CMP-02,cmp,void,0.078,-87.82,90.26,2024-01-03T11:05:23
D-0000104,W2401-0015,W2401-0015-W17,IMP-02,implant,particle,0.0454,-23.21,39.89,2024-01-03T14:06:15
D-0000105,W2401-0015,W2401-0015-W24,IMP-02,implant,etch_pit,0.0469,54.04,146.84,2024-01-03T15:12:15
D-0000106,W2401-0015,W2401-0015-W01,IMP-02,implant,particle,0.0109,-140.86,49.13,2024-01-03T13:52:15
D-0000107,W2401-0015,W2401-0015-W24,IMP-02,implant,particle,0.0358,76.75,91.78,2024-01-03T16:15:15
D-0000108,W2401-0016,W2401-0016-W03,DIFF-01,diffusion,bridge,0.0485,91.0,-18.18,2024-01-03T20:00:28
D-0000109,W2401-0016,W2401-0016-W21,DIFF-01,diffusion,void,0.073,74.04,31.25,2024-01-03T20:47:28
D-0000110,W2401-0016,W2401-0016-W05,DIFF-01,diffusion,patterning_defect,0.035,51.31,87.82,2024-01-03T19:52:28
D-0000111,W2401-0016,W2401-0016-W21,DIFF-01,diffusion,scratch,0.0334,-101.54,13.64,2024-01-03T18:20:28
D-0000112,W2401-0017,W2401-0017-W16,DIFF-01,diffusion,particle,0.3306,79.86,-104.13,2024-01-04T00:50:54
D-0000113,W2401-0017,W2401-0017-W10,DIFF-01,diffusion,particle,0.3971,-55.39,-9.28,2024-01-03T23:44:54
D-0000114,W2401-0017,W2401-0017-W14,DIFF-01,diffusion,particle,0.211,-134.44,48.29,2024-01-03T22:37:54
D-0000115,W2401-0017,W2401-0017-W13,DIFF-01,diffusion,particle,0.2854,-41.28,4.74,2024-01-03T23:50:54
D-0000116,W2401-0017,W2401-0017-W05,DIFF-01,diffusion,particle,0.3408,-78.73,-104.52,2024-01-03T22:43:54
D-0000117,W2401-0017,W2401-0017-W17,DIFF-01,diffusion,particle,0.2804,48.07,-39.87,2024-01-04T01:05:54
D-0000118,W2401-0017,W2401-0017-W06,DIFF-01,diffusion,void,0.2938,-136.52,63.86,2024-01-04T00:15:54
D-0000119,W2401-0017,W2401-0017-W16,DIFF-01,diffusion,particle,0.252,-26.77,106.1,2024-01-03T23:57:54
D-0000120,W2401-0017,W2401-0017-W15,DIFF-01,diffusion,particle,0.3966,-143.94,37.07,2024-01-04T00:17:54
D-0000121,W2401-0017,W2401-0017-W17,DIFF-01,diffusion,particle,0.2161,-69.19,-135.0,2024-01-03T22:06:54
D-0000122,W2401-0017,W2401-0017-W13,DIFF-01,diffusion,particle,0.3321,116.28,123.74,2024-01-04T00:44:54
D-0000123,W2401-0017,W2401-0017-W01,DIFF-01,diffusion,particle,0.3833,137.72,42.85,2024-01-03T23:55:54
D-0000124,W2401-0017,W2401-0017-W16,DIFF-01,diffusion,particle,0.4327,4.67,-36.33,2024-01-04T00:50:54
D-0000125,W2401-0017,W2401-0017-W07,DIFF-01,diffusion,particle,0.216,-69.2,-102.85,2024-01-03T21:51:54
D-0000126,W2401-0017,W2401-0017-W05,DIFF-01,diffusion,scratch,0.3548,-61.04,-98.08,2024-01-04T00:01:54
D-0000127,W2401-0017,W2401-0017-W21,DIFF-01,diffusion,scratch,0.3826,-27.52,-101.74,2024-01-03T22:37:54
D-0000128,W2401-0017,W2401-0017-W14,DIFF-01,diffusion,void,0.2326,66.23,102.82,2024-01-03T23:25:54
D-0000129,W2401-0017,W2401-0017-W07,DIFF-01,diffusion,particle,0.4402,-73.95,-11.33,2024-01-03T21:45:54
D-0000130,W2401-0017,W2401-0017-W13,DIFF-01,diffusion,particle,0.4456,-32.82,-43.31,2024-01-04T00:47:54
D-0000131,W2401-0017,W2401-0017-W12,DIFF-01,diffusion,void,0.4166,-136.39,-28.82,2024-01-03T22:33:54
D-0000132,W2401-0018,W2401-0018-W11,ETCH-03,etch,void,0.025,-91.88,108.91,2024-01-04T04:30:22
D-0000133,W2401-0018,W2401-0018-W01,ETCH-03,etch,bridge,0.0476,-57.3,87.04,2024-01-04T02:38:22
D-0000134,W2401-0018,W2401-0018-W17,ETCH-03,etch,bridge,0.0752,1.55,124.58,2024-01-04T04:41:22
D-0000135,W2401-0018,W2401-0018-W08,ETCH-03,etch,etch_pit,0.0395,16.71,0.29,2024-01-04T02:09:22
D-0000136,W2401-0018,W2401-0018-W09,ETCH-03,etch,scratch,0.0878,-10.23,98.86,2024-01-04T01:39:22
D-0000137,W2401-0018,W2401-0018-W22,ETCH-03,etch,bridge,0.013,55.67,-131.86,2024-01-04T02:38:22
D-0000138,W2401-0019,W2401-0019-W07,ETCH-03,etch,patterning_defect,0.0267,78.98,-43.19,2024-01-04T07:57:19
D-0000139,W2401-0019,W2401-0019-W09,ETCH-03,etch,bridge,0.0807,-112.59,68.08,2024-01-04T09:09:19
D-0000140,W2401-0019,W2401-0019-W05,ETCH-03,etch,etch_pit,0.0172,62.97,-13.49,2024-01-04T07:42:19
D-0000141,W2401-0019,W2401-0019-W24,ETCH-03,etch,etch_pit,0.0199,-134.6,141.73,2024-01-04T06:44:19
D-0000142,W2401-0019,W2401-0019-W19,ETCH-03,etch,particle,0.0643,-2.21,-108.86,2024-01-04T08:27:19
D-0000143,W2401-0020,W2401-0020-W08,IMP-02,implant,particle,0.0425,-138.64,-126.1,2024-01-04T10:32:11
D-0000144,W2401-0020,W2401-0020-W25,IMP-02,implant,bridge,0.0504,77.0,-51.42,2024-01-04T11:50:11
D-0000145,W2401-0020,W2401-0020-W04,IMP-02,implant,void,0.0501,-27.66,15.66,2024-01-04T12:25:11
D-0000146,W2401-0020,W2401-0020-W01,IMP-02,implant,particle,0.0248,95.46,148.18,2024-01-04T10:18:11
D-0000147,W2401-0020,W2401-0020-W19,IMP-02,implant,particle,0.0723,-115.62,-110.88,2024-01-04T12:43:11
D-0000148,W2401-0020,W2401-0020-W17,IMP-02,implant,patterning_defect,0.0296,-36.57,-8.26,2024-01-04T13:10:11
D-0000149,W2401-0021,W2401-0021-W09,ETCH-01,etch,etch_pit,0.0758,28.63,137.19,2024-01-04T15:58:14
D-0000150,W2401-0021,W2401-0021-W01,ETCH-01,etch,etch_pit,0.0644,-32.26,32.7,2024-01-04T15:40:14
D-0000151,W2401-0021,W2401-0021-W05,ETCH-01,etch,etch_pit,0.0161,30.9,91.94,2024-01-04T16:26:14
D-0000152,W2401-0021,W2401-0021-W21,ETCH-01,etch,etch_pit,0.0329,11.69,-81.7,2024-01-04T15:53:14
D-0000153,W2401-0021,W2401-0021-W17,ETCH-01,etch,void,0.077,25.79,76.44,2024-01-04T15:56:14
D-0000154,W2401-0021,W2401-0021-W07,ETCH-01,etch,scratch,0.0678,131.6,31.76,2024-01-04T16:21:14
D-0000155,W2401-0021,W2401-0021-W05,ETCH-01,etch,particle,0.0461,-49.11,-24.36,2024-01-04T14:35:14
D-0000156,W2401-0022,W2401-0022-W02,ETCH-01,etch,scratch,0.4143,-61.4,5.86,2024-01-04T19:26:40
D-0000157,W2401-0022,W2401-0022-W24,ETCH-01,etch,particle,0.2917,-142.67,87.03,2024-01-04T18:42:40
D-0000158,W2401-0022,W2401-0022-W16,ETCH-01,etch,etch_pit,0.3072,138.95,72.64,2024-01-04T19:54:40
D-0000159,W2401-0022,W2401-0022-W23,ETCH-01,etch,particle,0.3866,-21.9,103.27,2024-01-04T17:52:40
D-0000160,W2401-0022,W2401-0022-W07,ETCH-01,etch,bridge,0.2138,114.71,-41.33,2024-01-04T19:23:40
D-0000161,W2401-0022,W2401-0022-W20,ETCH-01,etch,particle,0.4178,-140.87,-103.11,2024-01-04T19:38:40
D-0000162,W2401-0022,W2401-0022-W03,ETCH-01,etch,particle,0.3863,-119.22,-96.7,2024-01-04T18:37:40
D-0000163,W2401-0022,W2401-0022-W09,ETCH-01,etch,bridge,0.2889,94.58,2.7,2024-01-04T18:28:40
D-0000164,W2401-0022,W2401-0022-W14,ETCH-01,etch,particle,0.3213,103.53,-22.51,2024-01-04T20:05:40
D-0000165,W2401-0022,W2401-0022-W21,ETCH-01,etch,etch_pit,0.3553,144.21,98.75,2024-01-04T18:56:40
D-0000166,W2401-0022,W2401-0022-W24,ETCH-01,etch,etch_pit,0.229,-58.41,16.25,2024-01-04T21:05:40
D-0000167,W2401-0022,W2401-0022-W17,ETCH-01,etch,patterning_defect,0.3951,-46.9,-78.25,2024-01-04T20:32:40
D-0000168,W2401-0022,W2401-0022-W18,ETCH-01,etch,void,0.3322,-27.58,-85.84,2024-01-04T20:27:40
D-0000169,W2401-0022,W2401-0022-W12,ETCH-01,etch,particle,0.231,-118.46,-38.57,2024-01-04T20:38:40
D-0000170,W2401-0022,W2401-0022-W23,ETCH-01,etch,particle,0.4056,2.21,146.97,2024-01-04T20:10:40
D-0000171,W2401-0022,W2401-0022-W23,ETCH-01,etch,particle,0.2723,22.08,129.62,2024-01-04T20:44:40
D-0000172,W2401-0023,W2401-0023-W09,ETCH-02,etch,particle,0.2414,76.35,61.44,2024-01-04T23:59:36
D-0000173,W2401-0023,W2401-0023-W21,ETCH-02,etch,particle,0.3561,91.8,110.13,2024-01-05T00:08:36
D-0000174,W2401-0023,W2401-0023-W10,ETCH-02,etch,bridge,0.3604,77.33,73.31,2024-01-05T00:13:36
D-0000175,W2401-0023,W2401-0023-W22,ETCH-02,etch,void,0.4136,-122.28,6.62,2024-01-04T21:57:36
D-0000176,W2401-0023,W2401-0023-W18,ETCH-02,etch,void,0.3448,40.76,20.49,2024-01-04T21:57:36
D-0000177,W2401-0023,W2401-0023-W11,ETCH-02,etch,particle,0.2736,81.15,115.43,2024-01-04T23:45:36
D-0000178,W2401-0023,W2401-0023-W20,ETCH-02,etch,void,0.4142,135.08,116.38,2024-01-04T21:47:36
D-0000179,W2401-0023,W2401-0023-W06,ETCH-02,etch,bridge,0.4018,-82.54,83.6,2024-01-05T00:38:36
D-0000180,W2401-0023,W2401-0023-W14,ETCH-02,etch,particle,0.34,130.38,-27.47,2024-01-05T00:19:36
D-0000181,W2401-0023,W2401-0023-W01,ETCH-02,etch,patterning_defect,0.3182,-30.4,-113.92,2024-01-05T00:35:36
D-0000182,W2401-0023,W2401-0023-W14,ETCH-02,etch,patterning_defect,0.2076,-17.29,74.28,2024-01-04T22:39:36
D-0000183,W2401-0023,W2401-0023-W18,ETCH-02,etch,etch_pit,0.3811,5.96,-83.32,2024-01-05T00:11:36
D-0000184,W2401-0023,W2401-0023-W22,ETCH-02,etch,particle,0.2905,-76.3,134.12,2024-01-04T21:55:36
D-0000185,W2401-0023,W2401-0023-W22,ETCH-02,etch,bridge,0.3893,100.12,143.32,2024-01-04T21:20:36
D-0000186,W2401-0023,W2401-0023-W12,ETCH-02,etch,etch_pit,0.4218,-113.89,-106.55,2024-01-05T00:17:36
D-0000187,W2401-0023,W2401-0023-W19,ETCH-02,etch,particle,0.2853,14.68,103.99,2024-01-04T21:57:36
D-0000188,W2401-0023,W2401-0023-W13,ETCH-02,etch,particle,0.2897,52.61,-19.62,2024-01-04T22:28:36
D-0000189,W2401-0023,W2401-0023-W03,ETCH-02,etch,void,0.2956,-36.27,-27.74,2024-01-04T21:38:36
D-0000190,W2401-0023,W2401-0023-W07,ETCH-02,etch,particle,0.3205,-22.07,51.26,2024-01-05T00:15:36
D-0000191,W2401-0024,W2401-0024-W25,IMP-01,implant,scratch,0.0523,21.31,143.18,2024-01-05T04:54:26
D-0000192,W2401-0024,W2401-0024-W04,IMP-01,implant,scratch,0.0254,-69.42,12.36,2024-01-05T02:43:26
D-0000193,W2401-0024,W2401-0024-W19,IMP-01,implant,etch_pit,0.0349,2.69,37.56,2024-01-05T01:52:26
D-0000194,W2401-0024,W2401-0024-W01,IMP-01,implant,etch_pit,0.0231,75.2,-148.71,2024-01-05T04:32:26
D-0000195,W2401-0024,W2401-0024-W17,IMP-01,implant,void,0.0413,114.8,-130.34,2024-01-05T01:56:26
D-0000196,W2401-0025,W2401-0025-W25,ETCH-01,etch,void,0.0262,-124.8,-91.39,2024-01-05T08:36:28
D-0000197,W2401-0025,W2401-0025-W11,ETCH-01,etch,etch_pit,0.0759,-141.41,132.71,2024-01-05T07:36:28
D-0000198,W2401-0025,W2401-0025-W17,ETCH-01,etch,particle,0.0619,-125.13,38.7,2024-01-05T06:18:28
D-0000199,W2401-0025,W2401-0025-W24,ETCH-01,etch,scratch,0.0463,81.55,108.14,2024-01-05T08:13:28
D-0000200,W2401-0026,W2401-0026-W19,CMP-01,cmp,patterning_defect,0.0614,37.84,-134.01,2024-01-05T11:19:28
D-0000201,W2401-0026,W2401-0026-W08,CMP-01,cmp,bridge,0.0316,117.92,-17.69,2024-01-05T12:18:28
D-0000202,W2401-0026,W2401-0026-W10,CMP-01,cmp,void,0.0147,131.99,114.86,2024-01-05T12:50:28
D-0000203,W2401-0026,W2401-0026-W13,CMP-01,cmp,etch_pit,0.0429,-110.25,-108.12,2024-01-05T09:49:28
D-0000204,W2401-0026,W2401-0026-W18,CMP-01,cmp,etch_pit,0.0697,-2.36,37.37,2024-01-05T11:46:28
D-0000205,W2401-0027,W2401-0027-W02,ETCH-02,etch,patterning_defect,0.3414,128.88,-129.1,2024-01-05T17:30:03
D-0000206,W2401-0027,W2401-0027-W09,ETCH-02,etch,particle,0.4341,52.04,-70.69,2024-01-05T15:00:03
D-0000207,W2401-0027,W2401-0027-W07,ETCH-02,etch,particle,0.258,130.3,135.35,2024-01-05T15:31:03
D-0000208,W2401-0027,W2401-0027-W12,ETCH-02,etch,scratch,0.2428,-46.27,137.38,2024-01-05T14:38:03
D-0000209,W2401-0027,W2401-0027-W15,ETCH-02,etch,particle,0.2198,-145.83,104.16,2024-01-05T14:53:03
D-0000210,W2401-0027,W2401-0027-W22,ETCH-02,etch,particle,0.3507,-148.86,-115.44,2024-01-05T17:23:03
D-0000211,W2401-0027,W2401-0027-W14,ETCH-02,etch,particle,0.3283,50.55,-109.56,2024-01-05T16:17:03
D-0000212,W2401-0027,W2401-0027-W18,ETCH-02,etch,particle,0.2862,-112.86,-83.96,2024-01-05T14:30:03
D-0000213,W2401-0027,W2401-0027-W22,ETCH-02,etch,particle,0.2768,27.58,67.34,2024-01-05T14:54:03
D-0000214,W2401-0027,W2401-0027-W19,ETCH-02,etch,particle,0.2352,-31.11,3.06,2024-01-05T17:40:03
D-0000215,W2401-0027,W2401-0027-W04,ETCH-02,etch,particle,0.2712,-133.24,-14.38,2024-01-05T17:05:03
D-0000216,W2401-0027,W2401-0027-W09,ETCH-02,etch,bridge,0.2996,10.19,127.45,2024-01-05T16:09:03
D-0000217,W2401-0027,W2401-0027-W24,ETCH-02,etch,void,0.3668,-98.25,-93.38,2024-01-05T14:14:03
