reading_id,lot_id,tool_id,process_step,parameter_name,parameter_value,alert_flag,timestamp
SR-0000031,W2401-0004,ETCH-03,etch,etch_temp_c,180.3122,0,2024-01-01T17:33:54
SR-0000032,W2401-0004,ETCH-03,etch,etch_temp_c,175.9456,0,2024-01-01T17:42:54
SR-0000033,W2401-0004,ETCH-03,etch,etch_pressure_mtorr,8.0332,0,2024-01-01T17:49:54
SR-0000034,W2401-0004,ETCH-03,etch,etch_pressure_mtorr,7.8602,0,2024-01-01T17:59:54
SR-0000035,W2401-0004,ETCH-03,etch,rf_power_w,407.6212,0,2024-01-01T18:04:54
SR-0000036,W2401-0004,ETCH-03,etch,rf_power_w,375.3211,0,2024-01-01T18:15:54
SR-0000037,W2401-0004,ETCH-03,etch,gas_flow_sccm,48.6484,0,2024-01-01T18:23:54
SR-0000038,W2401-0004,ETCH-03,etch,gas_flow_sccm,51.7771,0,2024-01-01T18:30:54
SR-0000039,W2401-0004,ETCH-03,etch,endpoint_time_s,129.0807,0,2024-01-01T18:38:54
SR-0000040,W2401-0004,ETCH-03,etch,endpoint_time_s,125.483,0,2024-01-01T18:44:54
SR-0000041,W2401-0005,DEP-01,deposition,dep_temp_c,309.0766,0,2024-01-01T21:21:35
SR-0000042,W2401-0005,DEP-01,deposition,dep_temp_c,301.572,0,2024-01-01T21:28:35
SR-0000043,W2401-0005,DEP-01,deposition,dep_pressure_mtorr,5.0164,0,2024-01-01T21:36:35
SR-0000044,W2401-0005,DEP-01,deposition,dep_pressure_mtorr,4.7287,0,2024-01-01T21:45:35
SR-0000045,W2401-0005,DEP-01,deposition,rf_power_w,361.9594,0,2024-01-01T21:54:35
SR-0000046,W2401-0005,DEP-01,deposition,rf_power_w,350.1063,0,2024-01-01T21:59:35
SR-0000047,W2401-0005,DEP-01,deposition,precursor_flow_sccm,29.75,0,2024-01-01T22:10:35
SR-0000048,W2401-0005,DEP-01,deposition,precursor_flow_sccm,31.8396,0,2024-01-01T22:15:35
SR-0000049,W2401-0005,DEP-01,deposition,film_thickness_nm,49.238,0,2024-01-01T22:24:35
SR-0000050,W2401-0005,DEP-01,deposition,film_thickness_nm,49.9728,0,2024-01-01T22:33:35
SR-0000051,W2401-0006,IMP-02,implant,beam_current_ma,10.9041,0,2024-01-02T01:27:48
SR-0000052,W2401-0006,IMP-02,implant,beam_current_ma,9.5686,0,2024-01-02T01:35:48
SR-0000053,W2401-0006,IMP-02,implant,beam_energy_kev,50.8955,0,2024-01-02T01:44:48
SR-0000054,W2401-0006,IMP-02,implant,beam_energy_kev,49.9718,0,2024-01-02T01:52:48
SR-0000055,W2401-0006,IMP-02,implant,scan_speed_mm_s,105.6061,0,2024-01-02T01:57:48
SR-0000056,W2401-0006,IMP-02,implant,scan_speed_mm_s,119.304,0,2024-01-02T02:07:48
SR-0000057,W2401-0006,IMP-02,implant,dose_uniformity_pct,98.5892,0,2024-01-02T02:15:48
SR-0000058,W2401-0006,IMP-02,implant,dose_uniformity_pct,98.4283,0,2024-01-02T02:21:48
SR-0000059,W2401-0006,IMP-02,implant,tilt_angle_deg,7.0913,0,2024-01-02T02:31:48
SR-0000060,W2401-0006,IMP-02,implant,tilt_angle_deg,7.2854,0,2024-01-02T02:39:48
SR-0000061,W2401-0007,IMP-02,implant,beam_current_ma,9.9477,0,2024-01-02T05:02:32
SR-0000062,W2401-0007,IMP-02,implant,beam_current_ma,9.3142,0,2024-01-02T05:10:32
SR-0000063,W2401-0007,IMP-02,implant,beam_energy_kev,45.9015,0,2024-01-02T05:17:32
SR-0000064,W2401-0007,IMP-02,implant,beam_energy_kev,52.0033,0,2024-01-02T05:24:32
SR-0000065,W2401-0007,IMP-02,implant,scan_speed_mm_s,106.8868,0,2024-01-02T05:35:32
SR-0000066,W2401-0007,IMP-02,implant,scan_speed_mm_s,95.9727,0,2024-01-02T05:40:32
SR-0000067,W2401-0007,IMP-02,implant,dose_uniformity_pct,97.8607,0,2024-01-02T05:51:32
SR-0000068,W2401-0007,IMP-02,implant,dose_uniformity_pct,98.8875,0,2024-01-02T05:59:32
SR-0000069,W2401-0007,IMP-02,implant,tilt_angle_deg,6.9975,0,2024-01-02T06:07:32
SR-0000070,W2401-0007,IMP-02,implant,tilt_angle_deg,6.959,0,2024-01-02T06:13:32
SR-0000071,W2401-0008,ETCH-01,etch,etch_temp_c,175.5195,0,2024-01-02T08:49:54
SR-0000072,W2401-0008,ETCH-01,etch,etch_temp_c,174.6876,0,2024-01-02T08:58:54
SR-0000073,W2401-0008,ETCH-01,etch,etch_pressure_mtorr,7.6492,0,2024-01-02T09:05:54
SR-0000074,W2401-0008,ETCH-01,etch,etch_pressure_mtorr,7.0348,0,2024-01-02T09:12:54
SR-0000075,W2401-0008,ETCH-01,etch,rf_power_w,378.6683,0,2024-01-02T09:21:54
SR-0000076,W2401-0008,ETCH-01,etch,rf_power_w,386.4187,0,2024-01-02T09:29:54
SR-0000077,W2401-0008,ETCH-01,etch,gas_flow_sccm,50.6023,0,2024-01-02T09:36:54
SR-0000078,W2401-0008,ETCH-01,etch,gas_flow_sccm,54.0519,0,2024-01-02T09:43:54
SR-0000079,W2401-0008,ETCH-01,etch,endpoint_time_s,116.4908,0,2024-01-02T09:52:54
SR-0000080,W2401-0008,ETCH-01,etch,endpoint_time_s,114.9279,0,2024-01-02T10:01:54
SR-0000081,W2401-0009,ETCH-02,etch,etch_temp_c,178.9089,0,2024-01-02T12:48:06
SR-0000082,W2401-0009,ETCH-02,etch,etch_temp_c,175.638,0,2024-01-02T12:55:06
SR-0000083,W2401-0009,ETCH-02,etch,etch_pressure_mtorr,7.5642,0,2024-01-02T13:03:06
SR-0000084,W2401-0009,ETCH-02,etch,etch_pressure_mtorr,7.7561,0,2024-01-02T13:09:06
SR-0000085,W2401-0009,ETCH-02,etch,rf_power_w,381.6952,0,2024-01-02T13:17:06
SR-0000086,W2401-0009,ETCH-02,etch,rf_power_w,370.283,0,2024-01-02T13:25:06
SR-0000087,W2401-0009,ETCH-02,etch,gas_flow_sccm,50.2285,0,2024-01-02T13:36:06
SR-0000088,W2401-0009,ETCH-02,etch,gas_flow_sccm,47.9714,0,2024-01-02T13:42:06
SR-0000089,W2401-0009,ETCH-02,etch,endpoint_time_s,119.0379,0,2024-01-02T13:50:06
SR-0000090,W2401-0009,ETCH-02,etch,endpoint_time_s,124.5749,0,2024-01-02T14:00:06
SR-0000091,W2401-0010,DIFF-01,diffusion,furnace_temp_c,949.7799,0,2024-01-02T16:57:07
SR-0000092,W2401-0010,DIFF-01,diffusion,furnace_temp_c,946.7876,0,2024-01-02T17:04:07
SR-0000093,W2401-0010,DIFF-01,diffusion,ramp_rate_c_min,10.725,0,2024-01-02T17:15:07
SR-0000094,W2401-0010,DIFF-01,diffusion,ramp_rate_c_min,9.2712,0,2024-01-02T17:22:07
SR-0000095,W2401-0010,DIFF-01,diffusion,ambient_pressure_torr,765.1015,0,2024-01-02T17:28:07
SR-0000096,W2401-0010,DIFF-01,diffusion,ambient_pressure_torr,761.5982,0,2024-01-02T17:37:07
SR-0000097,W2401-0010,DIFF-01,diffusion,gas_ratio,2.0024,0,2024-01-02T17:45:07
SR-0000098,W2401-0010,DIFF-01,diffusion,gas_ratio,1.8305,0,2024-01-02T17:52:07
SR-0000099,W2401-0010,DIFF-01,diffusion,anneal_time_min,30.2223,0,2024-01-02T18:01:07
SR-0000100,W2401-0010,DIFF-01,diffusion,anneal_time_min,27.8683,0,2024-01-02T18:11:07
SR-0000101,W2401-0011,IMP-01,implant,beam_current_ma,9.5333,0,2024-01-02T20:56:51
SR-0000102,W2401-0011,IMP-01,implant,beam_current_ma,10.48,0,2024-01-02T21:01:51
SR-0000103,W2401-0011,IMP-01,implant,beam_energy_kev,49.575,0,2024-01-02T21:10:51
SR-0000104,W2401-0011,IMP-01,implant,beam_energy_kev,49.4064,0,2024-01-02T21:19:51
SR-0000105,W2401-0011,IMP-01,implant,scan_speed_mm_s,87.8487,0,2024-01-02T21:26:51
SR-0000106,W2401-0011,IMP-01,implant,scan_speed_mm_s,100.4517,0,2024-01-02T21:34:51
SR-0000107,W2401-0011,IMP-01,implant,dose_uniformity_pct,98.5051,0,2024-01-02T21:42:51
SR-0000108,W2401-0011,IMP-01,implant,dose_uniformity_pct,98.3404,0,2024-01-02T21:50:51
SR-0000109,W2401-0011,IMP-01,implant,tilt_angle_deg,6.8277,0,2024-01-02T21:57:51
SR-0000110,W2401-0011,IMP-01,implant,tilt_angle_deg,6.8016,0,2024-01-02T22:06:51
SR-0000111,W2401-0012,LIT-01,litho,exposure_energy_mj,25.4453,0,2024-01-03T00:42:46
SR-0000112,W2401-0012,LIT-01,litho,exposure_energy_mj,25.1883,0,2024-01-03T00:52:46
SR-0000113,W2401-0012,LIT-01,litho,focus_offset_nm,-1.5052,0,2024-01-03T01:01:46
SR-0000114,W2401-0012,LIT-01,litho,focus_offset_nm,-0.374,0,2024-01-03T01:08:46
SR-0000115,W2401-0012,LIT-01,litho,stage_temp_c,21.7332,0,2024-01-03T01:17:46
SR-0000116,W2401-0012,LIT-01,litho,stage_temp_c,22.5009,0,2024-01-03T01:24:46
SR-0000117,W2401-0012,LIT-01,litho,humidity_pct,38.6209,0,2024-01-03T01:33:46
SR-0000118,W2401-0012,LIT-01,litho,humidity_pct,43.7714,0,2024-01-03T01:41:46
SR-0000119,W2401-0012,LIT-01,litho,dose_uniformity_pct,98.7499,0,2024-01-03T01:46:46
SR-0000120,W2401-0012,LIT-01,litho,dose_uniformity_pct,98.6089,0,2024-01-03T01:55:46
SR-0000121,W2401-0013,CMP-02,cmp,polish_pressure_psi,3.8194,0,2024-01-03T04:26:32
SR-0000122,W2401-0013,CMP-02,cmp,polish_pressure_psi,3.4733,0,2024-01-03T04:34:32
SR-0000123,W2401-0013,CMP-02,cmp,platen_speed_rpm,83.3594,0,2024-01-03T04:41:32
SR-0000124,W2401-0013,CMP-02,cmp,platen_speed_rpm,85.1511,0,2024-01-03T04:49:32
SR-0000125,W2401-0013,CMP-02,cmp,slurry_flow_ml_min,210.7808,0,2024-01-03T05:00:32
SR-0000126,W2401-0013,CMP-02,cmp,slurry_flow_ml_min,205.4878,0,2024-01-03T05:05:32
SR-0000127,W2401-0013,CMP-02,cmp,removal_rate_ang_min,1473.0882,0,2024-01-03T05:13:32
SR-0000128,W2401-0013,CMP-02,cmp,removal_rate_ang_min,1461.7538,0,2024-01-03T05:21:32
SR-0000129,W2401-0013,CMP-02,cmp,friction_coeff,0.3128,0,2024-01-03T05:29:32
SR-0000130,W2401-0013,CMP-02,cmp,friction_coeff,0.3385,0,2024-01-03T05:40:32
SR-0000131,W2401-0014,DIFF-02,diffusion,furnace_temp_c,945.1754,0,2024-01-03T08:27:52
SR-0000132,W2401-0014,DIFF-02,diffusion,furnace_temp_c,944.5774,0,2024-01-03T08:36:52
SR-0000133,W2401-0014,DIFF-02,diffusion,ramp_rate_c_min,9.834,0,2024-01-03T08:44:52
SR-0000134,W2401-0014,DIFF-02,diffusion,ramp_rate_c_min,9.7619,0,2024-01-03T08:53:52
SR-0000135,W2401-0014,DIFF-02,diffusion,ambient_pressure_torr,757.3442,0,2024-01-03T09:02:52
SR-0000136,W2401-0014,DIFF-02,diffusion,ambient_pressure_torr,758.4466,0,2024-01-03T09:09:52
SR-0000137,W2401-0014,DIFF-02,diffusion,gas_ratio,1.8747,0,2024-01-03T09:16:52
SR-0000138,W2401-0014,DIFF-02,diffusion,gas_ratio,1.8133,0,2024-01-03T09:23:52
SR-0000139,W2401-0014,DIFF-02,diffusion,anneal_time_min,32.0891,0,2024-01-03T09:33:52
SR-0000140,W2401-0014,DIFF-02,diffusion,anneal_time_min,30.715,0,2024-01-03T09:40:52
SR-0000141,W2401-0015,DIFF-02,diffusion,furnace_temp_c,951.5563,0,2024-01-03T12:58:43
SR-0000142,W2401-0015,DIFF-02,diffusion,furnace_temp_c,951.6491,0,2024-01-03T13:06:43
SR-0000143,W2401-0015,DIFF-02,diffusion,ramp_rate_c_min,9.0709,0,2024-01-03T13:15:43
SR-0000144,W2401-0015,DIFF-02,diffusion,ramp_rate_c_min,9.8793,0,2024-01-03T13:21:43
SR-0000145,W2401-0015,DIFF-02,diffusion,ambient_pressure_torr,758.3977,0,2024-01-03T13:32:43
SR-0000146,W2401-0015,DIFF-02,diffusion,ambient_pressure_torr,762.5817,0,2024-01-03T13:40:43
SR-0000147,W2401-0015,DIFF-02,diffusion,gas_ratio,1.9185,0,2024-01-03T13:47:43
SR-0000148,W2401-0015,DIFF-02,diffusion,gas_ratio,2.0016,0,2024-01-03T13:53:43
SR-0000149,W2401-0015,DIFF-02,diffusion,anneal_time_min,30.3189,0,2024-01-03T14:01:43
SR-0000150,W2401-0015,DIFF-02,diffusion,anneal_time_min,31.5177,0,2024-01-03T14:10:43
SR-0000151,W2401-0016,DIFF-01,diffusion,furnace_temp_c,943.6056,0,2024-01-03T16:37:19
SR-0000152,W2401-0016,DIFF-01,diffusion,furnace_temp_c,950.3643,0,2024-01-03T16:45:19
SR-0000153,W2401-0016,DIFF-01,diffusion,ramp_rate_c_min,9.8059,0,2024-01-03T16:55:19
SR-0000154,W2401-0016,DIFF-01,diffusion,ramp_rate_c_min,9.6596,0,2024-01-03T17:03:19
SR-0000155,W2401-0016,DIFF-01,diffusion,ambient_pressure_torr,758.2599,0,2024-01-03T17:11:19
SR-0000156,W2401-0016,DIFF-01,diffusion,ambient_pressure_torr,759.1058,0,2024-01-03T17:18:19
SR-0000157,W2401-0016,DIFF-01,diffusion,gas_ratio,2.0102,0,2024-01-03T17:25:19
SR-0000158,W2401-0016,DIFF-01,diffusion,gas_ratio,2.0566,0,2024-01-03T17:35:19
SR-0000159,W2401-0016,DIFF-01,diffusion,anneal_time_min,28.4866,0,2024-01-03T17:44:19
SR-0000160,W2401-0016,DIFF-01,diffusion,anneal_time_min,29.9357,0,2024-01-03T17:49:19
SR-0000161,W2401-0017,DIFF-02,diffusion,furnace_temp_c,947.7717,0,2024-01-03T20:43:04
SR-0000162,W2401-0017,DIFF-02,diffusion,furnace_temp_c,954.4114,0,2024-01-03T20:52:04
SR-0000163,W2401-0017,DIFF-02,diffusion,ramp_rate_c_min,9.4086,0,2024-01-03T21:01:04
SR-0000164,W2401-0017,DIFF-02,diffusion,ramp_rate_c_min,9.6645,0,2024-01-03T21:09:04
SR-0000165,W2401-0017,DIFF-02,diffusion,ambient_pressure_torr,761.6747,0,2024-01-03T21:15:04
SR-0000166,W2401-0017,DIFF-02,diffusion,ambient_pressure_torr,758.7239,0,2024-01-03T21:23:04
SR-0000167,W2401-0017,DIFF-02,diffusion,gas_ratio,2.0657,0,2024-01-03T21:34:04
SR-0000168,W2401-0017,DIFF-02,diffusion,gas_ratio,1.9106,0,2024-01-03T21:42:04
SR-0000169,W2401-0017,DIFF-02,diffusion,anneal_time_min,31.2954,0,2024-01-03T21:50:04
SR-0000170,W2401-0017,DIFF-02,diffusion,anneal_time_min,30.8924,0,2024-01-03T21:56:04
SR-0000171,W2401-0018,LIT-02,litho,exposure_energy_mj,24.3119,0,2024-01-04T00:29:04
SR-0000172,W2401-0018,LIT-02,litho,exposure_energy_mj,25.5417,0,2024-01-04T00:38:04
SR-0000173,W2401-0018,LIT-02,litho,focus_offset_nm,2.3818,0,2024-01-04T00:45:04
SR-0000174,W2401-0018,LIT-02,litho,focus_offset_nm,-2.3099,0,2024-01-04T00:56:04
SR-0000175,W2401-0018,LIT-02,litho,stage_temp_c,22.1346,0,2024-01-04T01:02:04
SR-0000176,W2401-0018,LIT-02,litho,stage_temp_c,21.734,0,2024-01-04T01:09:04
SR-0000177,W2401-0018,LIT-02,litho,humidity_pct,41.6432,0,2024-01-04T01:18:04
SR-0000178,W2401-0018,LIT-02,litho,humidity_pct,41.5477,0,2024-01-04T01:28:04
SR-0000179,W2401-0018,LIT-02,litho,dose_uniformity_pct,98.5614,0,2024-01-04T01:36:04
SR-0000180,W2401-0018,LIT-02,litho,dose_uniformity_pct,98.8733,0,2024-01-04T01:43:04
SR-0000181,W2401-0019,DIFF-01,diffusion,furnace_temp_c,951.1093,0,2024-01-04T04:26:18
SR-0000182,W2401-0019,DIFF-01,diffusion,furnace_temp_c,947.8806,0,2024-01-04T04:35:18
SR-0000183,W2401-0019,DIFF-01,diffusion,ramp_rate_c_min,9.2778,0,2024-01-04T04:44:18
SR-0000184,W2401-0019,DIFF-01,diffusion,ramp_rate_c_min,9.2421,0,2024-01-04T04:50:18
SR-0000185,W2401-0019,DIFF-01,diffusion,ambient_pressure_torr,759.6344,0,2024-01-04T05:01:18
SR-0000186,W2401-0019,DIFF-01,diffusion,ambient_pressure_torr,759.2036,0,2024-01-04T05:08:18
SR-0000187,W2401-0019,DIFF-01,diffusion,gas_ratio,1.9357,0,2024-01-04T05:17:18
SR-0000188,W2401-0019,DIFF-01,diffusion,gas_ratio,2.1113,0,2024-01-04T05:22:18
SR-0000189,W2401-0019,DIFF-01,diffusion,anneal_time_min,33.0094,0,2024-01-04T05:30:18
SR-0000190,W2401-0019,DIFF-01,diffusion,anneal_time_min,29.2745,0,2024-01-04T05:41:18
SR-0000191,W2401-0020,ETCH-03,etch,etch_temp_c,173.6258,0,2024-01-04T08:11:14
SR-0000192,W2401-0020,ETCH-03,etch,etch_temp_c,175.807,0,2024-01-04T08:19:14
SR-0000193,W2401-0020,ETCH-03,etch,etch_pressure_mtorr,7.8557,0,2024-01-04T08:26:14
SR-0000194,W2401-0020,ETCH-03,etch,etch_pressure_mtorr,8.0758,0,2024-01-04T08:32:14
SR-0000195,W2401-0020,ETCH-03,etch,rf_power_w,419.6858,0,2024-01-04T08:41:14
SR-0000196,W2401-0020,ETCH-03,etch,rf_power_w,366.0972,0,2024-01-04T08:49:14
SR-0000197,W2401-0020,ETCH-03,etch,gas_flow_sccm,49.3913,0,2024-01-04T08:56:14
SR-0000198,W2401-0020,ETCH-03,etch,gas_flow_sccm,46.5228,0,2024-01-04T09:07:14
SR-0000199,W2401-0020,ETCH-03,etch,endpoint_time_s,122.2848,0,2024-01-04T09:12:14
SR-0000200,W2401-0020,ETCH-03,etch,endpoint_time_s,123.3788,0,2024-01-04T09:20:14
SR-0000201,W2401-0021,LIT-01,litho,exposure_energy_mj,24.5733,0,2024-01-04T12:17:10
SR-0000202,W2401-0021,LIT-01,litho,exposure_energy_mj,24.9972,0,2024-01-04T12:25:10
SR-0000203,W2401-0021,LIT-01,litho,focus_offset_nm,-0.3786,0,2024-01-04T12:33:10
SR-0000204,W2401-0021,LIT-01,litho,focus_offset_nm,2.4606,0,2024-01-04T12:38:10
SR-0000205,W2401-0021,LIT-01,litho,stage_temp_c,22.0564,0,2024-01-04T12:48:10
SR-0000206,W2401-0021,LIT-01,litho,stage_temp_c,22.1982,0,2024-01-04T12:57:10
SR-0000207,W2401-0021,LIT-01,litho,humidity_pct,42.5438,0,2024-01-04T13:04:10
SR-0000208,W2401-0021,LIT-01,litho,humidity_pct,44.3451,0,2024-01-04T13:11:10
SR-0000209,W2401-0021,LIT-01,litho,dose_uniformity_pct,98.6264,0,2024-01-04T13:21:10
SR-0000210,W2401-0021,LIT-01,litho,dose_uniformity_pct,98.0794,0,2024-01-04T13:29:10
SR-0000211,W2401-0022,LIT-03,litho,exposure_energy_mj,25.7432,0,2024-01-04T16:20:12
SR-0000212,W2401-0022,LIT-03,litho,exposure_energy_mj,24.9477,0,2024-01-04T16:27:12
SR-0000213,W2401-0022,LIT-03,litho,focus_offset_nm,-0.9616,0,2024-01-04T16:34:12
SR-0000214,W2401-0022,LIT-03,litho,focus_offset_nm,-2.0441,0,2024-01-04T16:44:12
SR-0000215,W2401-0022,LIT-03,litho,stage_temp_c,22.3161,0,2024-01-04T16:52:12
SR-0000216,W2401-0022,LIT-03,litho,stage_temp_c,21.9818,0,2024-01-04T16:59:12
SR-0000217,W2401-0022,LIT-03,litho,humidity_pct,44.1229,0,2024-01-04T17:09:12
SR-0000218,W2401-0022,LIT-03,litho,humidity_pct,48.0274,0,2024-01-04T17:17:12
SR-0000219,W2401-0022,LIT-03,litho,dose_uniformity_pct,99.1134,0,2024-01-04T17:22:12
SR-0000220,W2401-0022,LIT-03,litho,dose_uniformity_pct,98.4911,0,2024-01-04T17:30:12
SR-0000221,W2401-0023,ETCH-03,etch,etch_temp_c,176.9805,0,2024-01-04T20:49:53
SR-0000222,W2401-0023,ETCH-03,etch,etch_temp_c,176.2007,0,2024-01-04T20:55:53
SR-0000223,W2401-0023,ETCH-03,etch,etch_pressure_mtorr,8.9111,0,2024-01-04T21:04:53
SR-0000224,W2401-0023,ETCH-03,etch,etch_pressure_mtorr,8.4032,0,2024-01-04T21:10:53
SR-0000225,W2401-0023,ETCH-03,etch,rf_power_w,389.7237,0,2024-01-04T21:21:53
SR-0000226,W2401-0023,ETCH-03,etch,rf_power_w,360.7013,0,2024-01-04T21:27:53
SR-0000227,W2401-0023,ETCH-03,etch,gas_flow_sccm,50.7059,0,2024-01-04T21:37:53
SR-0000228,W2401-0023,ETCH-03,etch,gas_flow_sccm,53.2639,0,2024-01-04T21:45:53
SR-0000229,W2401-0023,ETCH-03,etch,endpoint_time_s,120.2224,0,2024-01-04T21:53:53
SR-0000230,W2401-0023,ETCH-03,etch,endpoint_time_s,127.7495,0,2024-01-04T21:59:53
SR-0000231,W2401-0024,DIFF-01,diffusion,furnace_temp_c,946.0128,0,2024-01-05T00:54:17
SR-0000232,W2401-0024,DIFF-01,diffusion,furnace_temp_c,949.6796,0,2024-01-05T01:04:17
SR-0000233,W2401-0024,DIFF-01,diffusion,ramp_rate_c_min,9.7399,0,2024-01-05T01:11:17
SR-0000234,W2401-0024,DIFF-01,diffusion,ramp_rate_c_min,9.5074,0,2024-01-05T01:18:17
SR-0000235,W2401-0024,DIFF-01,diffusion,ambient_pressure_torr,759.9491,0,2024-01-05T01:27:17
SR-0000236,W2401-0024,DIFF-01,diffusion,ambient_pressure_torr,758.5319,0,2024-01-05T01:35:17
SR-0000237,W2401-0024,DIFF-01,diffusion,gas_ratio,2.0548,0,2024-01-05T01:44:17
SR-0000238,W2401-0024,DIFF-01,diffusion,gas_ratio,2.0184,0,2024-01-05T01:51:17
SR-0000239,W2401-0024,DIFF-01,diffusion,anneal_time_min,28.9733,0,2024-01-05T01:59:17
SR-0000240,W2401-0024,DIFF-01,diffusion,anneal_time_min,28.8889,0,2024-01-05T02:06:17
SR-0000241,W2401-0025,CMP-02,cmp,polish_pressure_psi,3.0451,0,2024-01-05T05:23:59
SR-0000242,W2401-0025,CMP-02,cmp,polish_pressure_psi,3.5793,0,2024-01-05T05:32:59
SR-0000243,W2401-0025,CMP-02,cmp,platen_speed_rpm,97.6633,0,2024-01-05T05:39:59
SR-0000244,W2401-0025,CMP-02,cmp,platen_speed_rpm,97.1962,0,2024-01-05T05:47:59
SR-0000245,W2401-0025,CMP-02,cmp,slurry_flow_ml_min,198.3044,0,2024-01-05T05:56:59
SR-0000246,W2401-0025,CMP-02,cmp,slurry_flow_ml_min,195.8301,0,2024-01-05T06:05:59
SR-0000247,W2401-0025,CMP-02,cmp,removal_rate_ang_min,1418.0424,0,2024-01-05T06:13:59
SR-0000248,W2401-0025,CMP-02,cmp,removal_rate_ang_min,1451.4735,0,2024-01-05T06:20:59
SR-0000249,W2401-0025,CMP-02,cmp,friction_coeff,0.2935,0,2024-01-05T06:29:59
SR-0000250,W2401-0025,CMP-02,cmp,friction_coeff,0.3631,0,2024-01-05T06:34:59
SR-0000251,W2401-0026,DIFF-01,diffusion,furnace_temp_c,944.3221,0,2024-01-05T09:31:17
SR-0000252,W2401-0026,DIFF-01,diffusion,furnace_temp_c,954.5528,0,2024-01-05T09:37:17
SR-0000253,W2401-0026,DIFF-01,diffusion,ramp_rate_c_min,10.5894,0,2024-01-05T09:46:17
SR-0000254,W2401-0026,DIFF-01,diffusion,ramp_rate_c_min,10.0003,0,2024-01-05T09:54:17
SR-0000255,W2401-0026,DIFF-01,diffusion,ambient_pressure_torr,758.8152,0,2024-01-05T10:02:17
SR-0000256,W2401-0026,DIFF-01,diffusion,ambient_pressure_torr,760.4336,0,2024-01-05T10:10:17
SR-0000257,W2401-0026,DIFF-01,diffusion,gas_ratio,2.0285,0,2024-01-05T10:17:17
SR-0000258,W2401-0026,DIFF-01,diffusion,gas_ratio,2.0006,0,2024-01-05T10:27:17
SR-0000259,W2401-0026,DIFF-01,diffusion,anneal_time_min,29.4876,0,2024-01-05T10:32:17
