lot_id,node,process_step,tool_id,recipe_id,operator,wafer_count,yield_pct,low_yield_flag,timestamp
W2401-0026,3nm,cmp,CMP-01,R-CMP-01,op_eve,25,92.83,0,2024-01-05T09:15:28
W2401-0027,3nm,etch,ETCH-02,R-ETH-05,op_diana,25,77.78,1,2024-01-05T13:41:03
W2401-0028,5nm,cmp,CMP-02,R-CMP-02,op_eve,25,90.48,0,2024-01-05T18:10:10
W2401-0029,3nm,implant,IMP-02,R-IMP-01,op_alice,25,89.54,0,2024-01-05T21:43:40
W2401-0030,3nm,litho,LIT-03,R-LIT-01,op_bob,25,92.85,0,2024-01-06T01:43:50
W2401-0031,3nm,diffusion,DIFF-01,R-DIF-01,op_diana,25,92.39,0,2024-01-06T05:38:04
W2401-0032,5nm,deposition,DEP-01,R-OXI-02,op_carlos,25,92.18,0,2024-01-06T09:41:59
W2401-0033,5nm,litho,LIT-01,R-LIT-02,op_eve,25,94.5,0,2024-01-06T13:29:59
W2401-0034,3nm,diffusion,DIFF-01,R-DIF-02,op_bob,25,96.71,0,2024-01-06T17:59:45
W2401-0035,3nm,cmp,CMP-02,R-CMP-01,op_eve,25,89.9,0,2024-01-06T21:51:55
W2401-0036,3nm,deposition,DEP-01,R-DEP-01,op_eve,25,93.14,0,2024-01-07T02:18:15
W2401-0037,5nm,diffusion,DIFF-02,R-DIF-02,op_alice,25,79.7,1,2024-01-07T06:08:50
W2401-0038,5nm,etch,ETCH-03,R-ETH-05,op_eve,25,92.21,0,2024-01-07T10:25:06
W2401-0039,3nm,litho,LIT-03,R-LIT-01,op_eve,25,94.34,0,2024-01-07T14:28:45
W2401-0040,3nm,deposition,DEP-02,R-DEP-01,op_carlos,25,92.54,0,2024-01-07T18:24:32
W2401-0041,3nm,deposition,DEP-03,R-NIT-07,op_eve,25,91.98,0,2024-01-07T22:09:30
W2401-0042,3nm,cmp,CMP-01,R-CMP-01,op_carlos,25,86.3,0,2024-01-08T01:49:15
W2401-0043,3nm,deposition,DEP-01,R-OXI-02,op_alice,25,91.48,0,2024-01-08T05:59:27
W2401-0044,5nm,deposition,DEP-02,R-DEP-01,op_bob,25,79.23,1,2024-01-08T09:41:26
W2401-0045,5nm,deposition,DEP-03,R-OXI-02,op_diana,25,96.41,0,2024-01-08T14:09:26
W2401-0046,5nm,litho,LIT-01,R-LIT-02,op_bob,25,72.85,1,2024-01-08T18:30:04
W2401-0047,5nm,cmp,CMP-01,R-CMP-02,op_eve,25,92.28,0,2024-01-08T22:20:48
W2401-0048,3nm,deposition,DEP-02,R-DEP-01,op_carlos,25,92.7,0,2024-01-09T02:39:12
W2401-0049,3nm,implant,IMP-02,R-IMP-02,op_diana,25,90.22,0,2024-01-09T06:49:00
W2401-0050,5nm,implant,IMP-01,R-IMP-02,op_diana,25,95.43,0,2024-01-09T10:30:30
W2401-0051,5nm,etch,ETCH-02,R-ETH-06,op_eve,25,90.42,0,2024-01-09T14:00:32
W2401-0052,5nm,implant,IMP-01,R-IMP-01,op_carlos,25,89.69,0,2024-01-09T17:43:21
W2401-0053,5nm,litho,LIT-01,R-LIT-03,op_carlos,25,77.74,1,2024-01-09T21:51:20
W2401-0054,3nm,cmp,CMP-02,R-CMP-01,op_diana,25,78.12,1,2024-01-10T01:49:50
W2401-0055,3nm,cmp,CMP-01,R-CMP-01,op_eve,25,76.72,1,2024-01-10T06:04:54
W2401-0056,5nm,implant,IMP-02,R-IMP-02,op_eve,25,94.1,0,2024-01-10T09:42:54
W2401-0057,5nm,etch,ETCH-03,R-ETH-05,op_diana,25,87.16,0,2024-01-10T14:07:18
W2401-0058,5nm,diffusion,DIFF-02,R-DIF-01,op_carlos,25,88.33,0,2024-01-10T17:52:08
W2401-0059,3nm,etch,ETCH-01,R-ETH-04,op_diana,25,93.46,0,2024-01-10T21:42:17
W2401-0060,3nm,cmp,CMP-02,R-CMP-02,op_eve,25,91.12,0,2024-01-11T01:54:41
W2401-0061,3nm,diffusion,DIFF-02,R-DIF-02,op_alice,25,92.19,0,2024-01-11T06:10:52
W2401-0062,5nm,cmp,CMP-01,R-CMP-02,op_bob,25,91.59,0,2024-01-11T09:58:47
W2401-0063,3nm,cmp,CMP-01,R-CMP-01,op_diana,25,94.85,0,2024-01-11T14:16:40
W2401-0064,5nm,etch,ETCH-02,R-ETH-04,op_alice,25,91.86,0,2024-01-11T17:51:42
W2401-0065,5nm,deposition,DEP-02,R-NIT-07,op_alice,25,72.23,1,2024-01-11T21:41:57
W2401-0066,3nm,implant,IMP-01,R-IMP-01,op_alice,25,91.18,0,2024-01-12T02:09:04
W2401-0067,3nm,diffusion,DIFF-01,R-DIF-01,op_bob,25,90.78,0,2024-01-12T05:51:02
W2401-0068,5nm,deposition,DEP-01,R-OXI-02,op_eve,25,92.2,0,2024-01-12T09:48:56
W2401-0069,3nm,deposition,DEP-01,R-OXI-02,op_alice,25,94.95,0,2024-01-12T14:02:02
W2401-0070,3nm,litho,LIT-03,R-LIT-03,op_bob,25,64.99,1,2024-01-12T17:54:33
W2401-0071,3nm,deposition,DEP-03,R-NIT-07,op_carlos,25,74.43,1,2024-01-12T21:31:49
W2401-0072,5nm,deposition,DEP-03,R-NIT-07,op_bob,25,92.21,0,2024-01-13T01:31:14
W2401-0073,5nm,diffusion,DIFF-02,R-DIF-02,op_diana,25,93.53,0,2024-01-13T05:45:15
W2401-0074,3nm,deposition,DEP-02,R-DEP-01,op_diana,25,89.02,0,2024-01-13T09:29:59
W2401-0075,5nm,litho,LIT-02,R-LIT-02,op_bob,25,89.67,0,2024-01-13T13:40:05
W2401-0076,5nm,diffusion,DIFF-01,R-DIF-01,op_alice,25,92.18,0,2024-01-13T17:26:52
W2401-0077,3nm,implant,IMP-02,R-IMP-02,op_diana,25,92.29,0,2024-01-13T21:21:15
W2401-0078,5nm,implant,IMP-02,R-IMP-02,op_eve,25,90.94,0,2024-01-14T01:32:45
W2401-0079,5nm,deposition,DEP-03,R-NIT-07,op_carlos,25,91.37,0,2024-01-14T05:28:17
W2401-0080,3nm,etch,ETCH-01,R-ETH-06,op_diana,25,93.7,0,2024-01-14T09:17:13
W2401-0081,5nm,litho,LIT-01,R-LIT-02,op_bob,25,90.64,0,2024-01-14T13:22:35
W2401-0082,3nm,litho,LIT-03,R-LIT-02,op_bob,25,93.63,0,2024-01-14T17:00:11
W2401-0083,3nm,litho,LIT-03,R-LIT-02,op_diana,25,89.74,0,2024-01-14T21:15:21
W2401-0084,5nm,litho,LIT-01,R-LIT-02,op_diana,25,77.88,1,2024-01-15T01:00:30
W2401-0085,5nm,litho,LIT-01,R-LIT-01,op_eve,25,92.47,0,2024-01-15T05:04:16
W2401-0086,3nm,diffusion,DIFF-02,R-DIF-02,op_diana,25,91.02,0,2024-01-15T09:10:39
W2401-0087,3nm,diffusion,DIFF-01,R-DIF-01,op_bob,25,95.19,0,2024-01-15T13:14:46
W2401-0088,3nm,etch,ETCH-03,R-ETH-04,op_bob,25,94.74,0,2024-01-15T16:49:38
W2401-0089,3nm,deposition,DEP-03,R-NIT-07,op_diana,25,78.18,1,2024-01-15T20:37:07
W2401-0090,3nm,cmp,CMP-01,R-CMP-01,op_bob,25,96.41,0,2024-01-16T00:42:30
W2401-0091,3nm,deposition,DEP-03,R-OXI-02,op_eve,25,94.37,0,2024-01-16T04:16:47
W2401-0092,5nm,deposition,DEP-03,R-OXI-02,op_diana,25,90.72,0,2024-01-16T08:05:02
W2401-0093,5nm,implant,IMP-02,R-IMP-02,op_alice,25,97.37,0,2024-01-16T12:10:55
W2401-0094,3nm,implant,IMP-02,R-IMP-01,op_bob,25,95.47,0,2024-01-16T16:15:26
W2401-0095,5nm,etch,ETCH-03,R-ETH-05,op_diana,25,94.76,0,2024-01-16T20:24:31
W2401-0096,3nm,etch,ETCH-02,R-ETH-05,op_diana,25,91.46,0,2024-01-17T00:13:47
W2401-0097,3nm,cmp,CMP-01,R-CMP-02,op_carlos,25,89.06,0,2024-01-17T04:40:30
W2401-0098,5nm,cmp,CMP-01,R-CMP-01,op_eve,25,97.94,0,2024-01-17T09:09:47
W2401-0099,3nm,etch,ETCH-02,R-ETH-06,op_bob,25,94.41,0,2024-01-17T13:17:18
W2401-0100,3nm,implant,IMP-01,R-IMP-02,op_eve,25,76.58,1,2024-01-17T16:54:35
W2401-0101,3nm,implant,IMP-01,R-IMP-02,op_carlos,25,96.74,0,2024-01-17T20:31:24
W2401-0102,5nm,cmp,CMP-01,R-CMP-02,op_eve,25,93.0,0,2024-01-18T00:17:48
W2401-0103,3nm,deposition,DEP-02,R-NIT-07,op_eve,25,67.26,1,2024-01-18T03:56:00
W2401-0104,5nm,etch,ETCH-02,R-ETH-06,op_diana,25,92.06,0,2024-01-18T08:16:15
W2401-0105,5nm,cmp,CMP-02,R-CMP-01,op_bob,25,78.55,1,2024-01-18T12:19:21
W2401-0106,5nm,cmp,CMP-01,R-CMP-02,op_alice,25,83.44,0,2024-01-18T16:34:02
W2401-0107,3nm,diffusion,DIFF-02,R-DIF-01,op_bob,25,74.3,1,2024-01-18T20:54:44
W2401-0108,5nm,diffusion,DIFF-02,R-DIF-01,op_carlos,25,94.97,0,2024-01-19T01:22:54
W2401-0109,5nm,diffusion,DIFF-01,R-DIF-01,op_bob,25,88.04,0,2024-01-19T05:11:54
W2401-0110,3nm,implant,IMP-01,R-IMP-02,op_alice,25,79.5,1,2024-01-19T09:37:09
W2401-0111,3nm,litho,LIT-02,R-LIT-01,op_carlos,25,90.33,0,2024-01-19T13:25:07
W2401-0112,3nm,etch,ETCH-01,R-ETH-04,op_eve,25,94.06,0,2024-01-19T17:19:50
W2401-0113,3nm,cmp,CMP-01,R-CMP-01,op_diana,25,90.2,0,2024-01-19T21:27:01
W2401-0114,5nm,implant,IMP-01,R-IMP-01,op_diana,25,89.89,0,2024-01-20T01:24:56
W2401-0115,5nm,implant,IMP-02,R-IMP-02,op_diana,25,92.94,0,2024-01-20T05:54:12
W2401-0116,3nm,cmp,CMP-02,R-CMP-02,op_carlos,25,75.02,1,2024-01-20T09:53:11
W2401-0117,3nm,diffusion,DIFF-02,R-DIF-02,op_bob,25,92.25,0,2024-01-20T14:09:53
W2401-0118,3nm,diffusion,DIFF-02,R-DIF-01,op_alice,25,94.96,0,2024-01-20T18:01:02
W2401-0119,5nm,implant,IMP-01,R-IMP-01,op_carlos,25,89.94,0,2024-01-20T21:57:29
W2401-0120,3nm,etch,ETCH-03,R-ETH-05,op_eve,25,66.02,1,2024-01-21T01:52:24
W2401-0121,5nm,implant,IMP-02,R-IMP-01,op_diana,25,93.34,0,2024-01-21T06:19:04
W2401-0122,5nm,diffusion,DIFF-02,R-DIF-01,op_diana,25,78.83,1,2024-01-21T10:40:40
W2401-0123,5nm,implant,IMP-02,R-IMP-01,op_bob,25,93.05,0,2024-01-21T14:51:00
W2401-0124,5nm,diffusion,DIFF-01,R-DIF-01,op_diana,25,93.79,0,2024-01-21T18:58:11
W2401-0125,3nm,deposition,DEP-02,R-DEP-01,op_alice,25,90.86,0,2024-01-21T22:36:34
W2401-0126,5nm,cmp,CMP-02,R-CMP-02,op_eve,25,80.28,1,2024-01-22T02:38:49
W2401-0127,5nm,deposition,DEP-01,R-OXI-02,op_carlos,25,92.55,0,2024-01-22T06:38:11
W2401-0128,5nm,diffusion,DIFF-02,R-DIF-01,op_diana,25,94.65,0,2024-01-22T10:29:56
W2401-0129,5nm,litho,LIT-03,R-LIT-01,op_eve,25,92.79,0,2024-01-22T14:58:02
W2401-0130,3nm,litho,LIT-03,R-LIT-01,op_eve,25,91.85,0,2024-01-22T19:27:22
W2401-0131,5nm,etch,ETCH-03,R-ETH-04,op_carlos,25,79.23,1,2024-01-22T23:49:33
W2401-0132,3nm,etch,ETCH-01,R-ETH-05,op_bob,25,91.62,0,2024-01-23T03:30:01
W2401-0133,5nm,diffusion,DIFF-01,R-DIF-01,op_diana,25,91.76,0,2024-01-23T07:07:37
W2401-0134,3nm,cmp,CMP-01,R-CMP-01,op_eve,25,64.13,1,2024-01-23T10:59:21
W2401-0135,3nm,cmp,CMP-02,R-CMP-01,op_alice,25,76.97,1,2024-01-23T14:54:55
W2401-0136,5nm,diffusion,DIFF-02,R-DIF-02,op_eve,25,91.1,0,2024-01-23T19:07:39
W2401-0137,3nm,cmp,CMP-02,R-CMP-01,op_diana,25,91.3,0,2024-01-23T23:28:49
W2401-0138,3nm,deposition,DEP-02,R-NIT-07,op_carlos,25,67.97,1,2024-01-24T03:23:47
W2401-0139,3nm,litho,LIT-02,R-LIT-01,op_carlos,25,93.21,0,2024-01-24T06:57:48
W2401-0140,5nm,implant,IMP-01,R-IMP-02,op_carlos,25,89.05,0,2024-01-24T11:01:30
W2401-0141,5nm,implant,IMP-01,R-IMP-02,op_eve,25,91.55,0,2024-01-24T15:27:58
W2401-0142,5nm,etch,ETCH-01,R-ETH-05,op_eve,25,93.08,0,2024-01-24T19:07:15
W2401-0143,3nm,cmp,CMP-01,R-CMP-02,op_alice,25,93.65,0,2024-01-24T23:23:00
W2401-0144,3nm,diffusion,DIFF-02,R-DIF-01,op_bob,25,95.53,0,2024-01-25T02:53:22
W2401-0145,3nm,implant,IMP-01,R-IMP-02,op_diana,25,90.6,0,2024-01-25T07:21:41
W2401-0146,3nm,litho,LIT-01,R-LIT-01,op_eve,25,79.21,1,2024-01-25T11:11:09
W2401-0147,5nm,deposition,DEP-01,R-OXI-02,op_alice,25,92.92,0,2024-01-25T15:17:34
W2401-0148,5nm,diffusion,DIFF-02,R-DIF-01,op_bob,25,74.66,1,2024-01-25T18:54:13
W2401-0149,3nm,deposition,DEP-02,R-NIT-07,op_alice,25,73.94,1,2024-01-25T22:36:54
W2401-0150,3nm,diffusion,DIFF-02,R-DIF-01,op_diana,25,68.92,1,2024-01-26T02:29:43
W2401-0151,5nm,diffusion,DIFF-02,R-DIF-02,op_carlos,25,92.38,0,2024-01-26T06:51:26
W2401-0152,5nm,implant,IMP-02,R-IMP-01,op_diana,25,92.34,0,2024-01-26T11:09:31
W2401-0153,5nm,diffusion,DIFF-01,R-DIF-02,op_carlos,25,91.95,0,2024-01-26T14:54:07
W2401-0154,3nm,diffusion,DIFF-01,R-DIF-02,op_carlos,25,90.23,0,2024-01-26T18:28:42
W2401-0155,3nm,etch,ETCH-01,R-ETH-04,op_carlos,25,93.1,0,2024-01-26T22:47:50
W2401-0156,3nm,implant,IMP-02,R-IMP-02,op_eve,25,95.21,0,2024-01-27T02:57:10
W2401-0157,5nm,implant,IMP-02,R-IMP-01,op_diana,25,94.46,0,2024-01-27T06:54:06
W2401-0158,3nm,deposition,DEP-03,R-DEP-01,op_carlos,25,93.12,0,2024-01-27T10:40:35
W2401-0159,5nm,deposition,DEP-01,R-OXI-02,op_alice,25,89.77,0,2024-01-27T14:12:50
W2401-0160,3nm,cmp,CMP-01,R-CMP-02,op_eve,25,90.03,0,2024-01-27T18:16:06
W2401-0161,3nm,deposition,DEP-03,R-DEP-01,op_eve,25,91.57,0,2024-01-27T21:49:48
W2401-0162,3nm,deposition,DEP-02,R-NIT-07,op_diana,25,71.22,1,2024-01-28T02:19:16
W2401-0163,5nm,litho,LIT-02,R-LIT-01,op_eve,25,94.87,0,2024-01-28T06:36:37
W2401-0164,3nm,deposition,DEP-01,R-OXI-02,op_bob,25,93.87,0,2024-01-28T10:23:40
W2401-0165,3nm,diffusion,DIFF-01,R-DIF-02,op_eve,25,90.92,0,2024-01-28T14:33:24
W2401-0166,3nm,implant,IMP-01,R-IMP-02,op_eve,25,90.47,0,2024-01-28T18:50:54
W2401-0167,5nm,etch,ETCH-01,R-ETH-04,op_bob,25,67.05,1,2024-01-28T22:33:45
W2401-0168,3nm,implant,IMP-02,R-IMP-01,op_eve,25,94.55,0,2024-01-29T02:53:51
W2401-0169,3nm,implant,IMP-02,R-IMP-01,op_diana,25,89.38,0,2024-01-29T06:33:35
W2401-0170,5nm,etch,ETCH-03,R-ETH-04,op_carlos,25,95.0,0,2024-01-29T10:40:14
W2401-0171,3nm,deposition,DEP-03,R-OXI-02,op_diana,25,90.02,0,2024-01-29T14:57:17
W2401-0172,3nm,etch,ETCH-03,R-ETH-04,op_carlos,25,79.77,1,2024-01-29T18:58:56
W2401-0173,3nm,deposition,DEP-01,R-DEP-01,op_carlos,25,96.22,0,2024-01-29T23:11:37
W2401-0174,5nm,litho,LIT-01,R-LIT-02,op_carlos,25,94.35,0,2024-01-30T03:12:25
W2401-0175,5nm,litho,LIT-02,R-LIT-01,op_alice,25,90.9,0,2024-01-30T07:04:51
W2401-0176,5nm,etch,ETCH-01,R-ETH-04,op_carlos,25,94.46,0,2024-01-30T10:40:48
W2401-0177,5nm,cmp,CMP-01,R-CMP-01,op_alice,25,90.6,0,2024-01-30T14:56:20
W2401-0178,5nm,litho,LIT-02,R-LIT-01,op_carlos,25,93.33,0,2024-01-30T18:59:16
W2401-0179,3nm,litho,LIT-02,R-LIT-03,op_eve,25,79.26,1,2024-01-30T23:06:38
W2401-0180,5nm,etch,ETCH-03,R-ETH-05,op_bob,25,93.39,0,2024-01-31T03:02:23
W2401-0181,5nm,litho,LIT-03,R-LIT-03,op_eve,25,70.99,1,2024-01-31T06:37:31
W2401-0182,5nm,deposition,DEP-02,R-OXI-02,op_alice,25,91.42,0,2024-01-31T10:10:08
W2401-0183,3nm,diffusion,DIFF-02,R-DIF-01,op_alice,25,92.73,0,2024-01-31T14:19:34
W2401-0184,3nm,implant,IMP-02,R-IMP-02,op_bob,25,92.34,0,2024-01-31T18:09:52
W2401-0185,5nm,etch,ETCH-01,R-ETH-04,op_alice,25,91.16,0,2024-01-31T22:07:20
W2402-0186,5nm,diffusion,DIFF-02,R-DIF-02,op_alice,25,92.03,0,2024-02-01T01:55:56
W2402-0187,5nm,deposition,DEP-01,R-NIT-07,op_diana,25,90.37,0,2024-02-01T06:12:47
W2402-0188,5nm,deposition,DEP-01,R-NIT-07,op_diana,25,89.0,0,2024-02-01T10:27:23
W2402-0189,5nm,litho,LIT-02,R-LIT-03,op_bob,25,95.31,0,2024-02-01T14:02:21
W2402-0190,3nm,deposition,DEP-03,R-NIT-07,op_carlos,25,73.83,1,2024-02-01T17:51:37
W2402-0191,5nm,diffusion,DIFF-02,R-DIF-02,op_alice,25,95.17,0,2024-02-01T21:48:27
W2402-0192,3nm,litho,LIT-01,R-LIT-03,op_diana,25,79.48,1,2024-02-02T02:06:31
W2402-0193,3nm,diffusion,DIFF-01,R-DIF-02,op_carlos,25,89.65,0,2024-02-02T05:59:29
W2402-0194,3nm,diffusion,DIFF-02,R-DIF-02,op_carlos,25,68.11,1,2024-02-02T10:15:16
W2402-0195,5nm,diffusion,DIFF-01,R-DIF-02,op_carlos,25,91.51,0,2024-02-02T14:15:13
W2402-0196,5nm,etch,ETCH-01,R-ETH-04,op_alice,25,90.33,0,2024-02-02T18:26:51
W2402-0197,5nm,litho,LIT-03,R-LIT-02,op_carlos,25,91.21,0,2024-02-02T22:50:46
W2402-0198,3nm,implant,IMP-01,R-IMP-02,op_eve,25,88.94,0,2024-02-03T02:38:46
W2402-0199,3nm,etch,ETCH-02,R-ETH-04,op_carlos,25,89.74,0,2024-02-03T07:07:52
W2402-0200,3nm,litho,LIT-02,R-LIT-02,op_diana,25,91.2,0,2024-02-03T11:10:58
W2402-0201,3nm,etch,ETCH-02,R-ETH-06,op_alice,25,88.41,0,2024-02-03T15:27:07
W2402-0202,3nm,etch,ETCH-02,R-ETH-06,op_alice,25,93.17,0,2024-02-03T19:49:48
W2402-0203,5nm,etch,ETCH-01,R-ETH-05,op_bob,25,88.63,0,2024-02-03T23:50:53
W2402-0204,5nm,etch,ETCH-03,R-ETH-06,op_carlos,25,69.12,1,2024-02-04T04:11:39
W2402-0205,3nm,diffusion,DIFF-01,R-DIF-01,op_eve,25,94.92,0,2024-02-04T08:11:48
W2402-0206,3nm,litho,LIT-01,R-LIT-01,op_eve,25,91.84,0,2024-02-04T12:18:06
W2402-0207,3nm,cmp,CMP-02,R-CMP-02,op_diana,25,93.71,0,2024-02-04T16:25:11
W2402-0208,5nm,litho,LIT-03,R-LIT-01,op_bob,25,89.33,0,2024-02-04T20:19:33
W2402-0209,5nm,implant,IMP-02,R-IMP-02,op_diana,25,79.72,1,2024-02-05T00:25:57
W2402-0210,5nm,cmp,CMP-01,R-CMP-01,op_alice,25,71.64,1,2024-02-05T04:23:57
W2402-0211,5nm,diffusion,DIFF-02,R-DIF-01,op_bob,25,95.15,0,2024-02-05T08:48:05
W2402-0212,5nm,deposition,DEP-02,R-DEP-01,op_alice,25,94.79,0,2024-02-05T12:48:58
W2402-0213,5nm,litho,LIT-01,R-LIT-02,op_diana,25,91.0,0,2024-02-05T16:31:53
W2402-0214,5nm,deposition,DEP-03,R-DEP-01,op_alice,25,87.31,0,2024-02-05T20:52:27
W2402-0215,5nm,litho,LIT-02,R-LIT-01,op_eve,25,94.18,0,2024-02-06T01:08:17
W2402-0216,5nm,litho,LIT-02,R-LIT-03,op_diana,25,92.18,0,2024-02-06T05:00:02
W2402-0217,3nm,etch,ETCH-01,R-ETH-05,op_carlos,25,89.98,0,2024-02-06T09:10:51
W2402-0218,5nm,etch,ETCH-01,R-ETH-06,op_eve,25,67.08,1,2024-02-06T13:01:12
W2402-0219,5nm,etch,ETCH-03,R-ETH-06,op_bob,25,59.69,1,2024-02-06T17:19:26
W2402-0220,5nm,diffusion,DIFF-02,R-DIF-02,op_eve,25,90.58,0,2024-02-06T21:48:52
W2402-0221,5nm,diffusion,DIFF-02,R-DIF-01,op_eve,25,96.37,0,2024-02-07T01:59:18
W2402-0222,3nm,implant,IMP-01,R-IMP-02,op_bob,25,88.05,0,2024-02-07T06:27:20
W2402-0223,3nm,litho,LIT-03,R-LIT-03,op_alice,25,91.39,0,2024-02-07T10:20:08
W2402-0224,5nm,etch,ETCH-02,R-ETH-06,op_bob,25,88.35,0,2024-02-07T14:16:36
W2402-0225,3nm,implant,IMP-01,R-IMP-01,op_eve,25,94.3,0,2024-02-07T18:38:58
W2402-0226,5nm,deposition,DEP-01,R-NIT-07,op_eve,25,90.72,0,2024-02-07T22:48:42
W2402-0227,5nm,diffusion,DIFF-02,R-DIF-01,op_bob,25,93.96,0,2024-02-08T03:01:57
W2402-0228,5nm,deposition,DEP-03,R-DEP-01,op_diana,25,91.05,0,2024-02-08T06:49:52
W2402-0229,5nm,deposition,DEP-01,R-OXI-02,op_eve,25,94.11,0,2024-02-08T11:07:36
W2402-0230,5nm,etch,ETCH-02,R-ETH-04,op_carlos,25,92.97,0,2024-02-08T15:36:24
W2402-0231,5nm,etch,ETCH-01,R-ETH-06,op_carlos,25,91.72,0,2024-02-08T19:45:46
W2402-0232,3nm,litho,LIT-03,R-LIT-03,op_eve,25,92.05,0,2024-02-08T23:57:32
W2402-0233,3nm,litho,LIT-01,R-LIT-02,op_carlos,25,92.81,0,2024-02-09T03:41:04
W2402-0234,3nm,litho,LIT-03,R-LIT-01,op_diana,25,89.05,0,2024-02-09T07:17:06
W2402-0235,5nm,deposition,DEP-02,R-OXI-02,op_alice,25,87.78,0,2024-02-09T11:26:08
W2402-0236,3nm,diffusion,DIFF-01,R-DIF-01,op_diana,25,93.15,0,2024-02-09T15:01:30
W2402-0237,5nm,cmp,CMP-01,R-CMP-02,op_alice,25,76.3,1,2024-02-09T19:31:20
W2402-0238,5nm,etch,ETCH-03,R-ETH-05,op_carlos,25,62.47,1,2024-02-10T00:00:41
W2402-0239,5nm,implant,IMP-01,R-IMP-01,op_carlos,25,92.97,0,2024-02-10T03:58:13
W2402-0240,3nm,etch,ETCH-03,R-ETH-06,op_diana,25,66.82,1,2024-02-10T08:02:17
W2402-0241,3nm,etch,ETCH-02,R-ETH-05,op_bob,25,94.46,0,2024-02-10T12:12:26
W2402-0242,5nm,deposition,DEP-03,R-OXI-02,op_eve,25,78.21,1,2024-02-10T15:58:27
W2402-0243,5nm,etch,ETCH-02,R-ETH-06,op_eve,25,91.16,0,2024-02-10T19:35:33
W2402-0244,5nm,implant,IMP-01,R-IMP-02,op_carlos,25,77.05,1,2024-02-10T23:58:49
W2402-0245,5nm,cmp,CMP-02,R-CMP-01,op_bob,25,90.57,0,2024-02-11T04:13:41
W2402-0246,5nm,litho,LIT-03,R-LIT-01,op_alice,25,88.95,0,2024-02-11T08:15:22
W2402-0247,3nm,diffusion,DIFF-01,R-DIF-01,op_carlos,25,93.65,0,2024-02-11T12:39:33
W2402-0248,5nm,litho,LIT-03,R-LIT-02,op_alice,25,89.86,0,2024-02-11T16:52:34
W2402-0249,5nm,diffusion,DIFF-01,R-DIF-02,op_carlos,25,91.58,0,2024-02-11T20:53:21
W2402-0250,3nm,litho,LIT-02,R-LIT-02,op_alice,25,89.53,0,2024-02-12T01:08:06
W2402-0251,3nm,cmp,CMP-01,R-CMP-02,op_diana,25,92.57,0,2024-02-12T04:41:43
